dataset,column,dtype,missing_pct,unique_vals,min,max,median
output_Chandigarh_plot.csv,Club House,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_plot.csv,Gymnasium,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_plot.csv,Swimming Pool,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_plot.csv,Sports Facility,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_plot.csv,Jogging Track,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_plot.csv,Landscaped Gardens,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_plot.csv,locality_score,float64,91.53,0,7.1,7.1,7.1
output_Chandigarh_plot.csv,project_score,float64,100.0,0,,,
output_Chandigarh_plot.csv,builder_experience,float64,96.92,0,123.0,123.0,123.0
output_Chandigarh_plot.csv,Hospital,float64,81.9,0,1.0,1.0,1.0
output_Chandigarh_plot.csv,Multipurpose Room,float64,93.97,0,1.0,1.0,1.0
output_Chandigarh_plot.csv,Rain Water Harvesting,float64,80.49,0,1.0,1.0,1.0
output_Chandigarh_plot.csv,Vaastu Compliant,float64,87.29,0,1.0,1.0,1.0
output_Chandigarh_plot.csv,ATM,float64,85.24,0,1.0,1.0,1.0
output_Chandigarh_plot.csv,Car Parking,float64,61.62,0,1.0,1.0,1.0
output_Chandigarh_plot.csv,Intercom,float64,93.07,0,1.0,1.0,1.0
output_Chandigarh_plot.csv,Maintenance Staff,float64,87.03,0,1.0,1.0,1.0
output_Chandigarh_plot.csv,School,float64,75.48,0,1.0,1.0,1.0
output_Chandigarh_plot.csv,Shopping Mall,float64,80.23,0,1.0,1.0,1.0
output_Chandigarh_plot.csv,Staff Quarter,float64,89.99,0,1.0,1.0,1.0
output_Chandigarh_plot.csv,Golf Course,float64,93.84,0,1.0,1.0,1.0
output_Chandigarh_plot.csv,Cafeteria,float64,88.7,0,1.0,1.0,1.0
output_Chandigarh_plot.csv,Indoor Games,float64,89.47,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,location,str,0.0,49,,,
output_Chandigarh_villa.csv,area,int64,0.0,0,530.0,9000.0,1225.0
output_Chandigarh_villa.csv,price,int64,0.0,0,1900000.0,140000000.0,4990000.0
output_Chandigarh_villa.csv,price_currency,str,0.0,1,,,
output_Chandigarh_villa.csv,status,float64,77.71,0,0.0,1.0,1.0
output_Chandigarh_villa.csv,new/resale,int64,0.0,0,0.0,1.0,1.0
output_Chandigarh_villa.csv,price_negotiable,int64,0.0,0,0.0,1.0,1.0
output_Chandigarh_villa.csv,description,str,4.57,153,,,
output_Chandigarh_villa.csv,security_deposit,int64,0.0,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,facing,str,20.57,6,,,
output_Chandigarh_villa.csv,furnished,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_villa.csv,age of property,int64,0.0,0,0.0,10.0,1.0
output_Chandigarh_villa.csv,24 X 7 Security,int64,0.0,0,0.0,1.0,1.0
output_Chandigarh_villa.csv,Full Power Backup,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_villa.csv,Jogging Track,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_villa.csv,Landscaped Gardens,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_villa.csv,Gymnasium,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_villa.csv,Lift(s),int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_villa.csv,Intercom,float64,90.29,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,Sports Facility,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_villa.csv,Swimming Pool,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_villa.csv,Club House,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_villa.csv,Children's play area,int64,0.0,0,0.0,1.0,0.0
output_Chandigarh_villa.csv,locality_score,float64,97.14,0,7.1,7.1,7.1
output_Chandigarh_villa.csv,project_score,float64,100.0,0,,,
output_Chandigarh_villa.csv,builder_experience,float64,97.71,0,123.0,123.0,123.0
output_Chandigarh_villa.csv,Car Parking,float64,44.0,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,Shopping Mall,float64,86.86,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,Indoor Games,float64,92.0,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,Maintenance Staff,float64,78.86,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,Multipurpose Room,float64,93.71,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,Rain Water Harvesting,float64,87.43,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,Cafeteria,float64,95.43,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,Vaastu Compliant,float64,80.57,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,ATM,float64,73.71,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,Golf Course,float64,97.71,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,Staff Quarter,float64,92.0,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,Hospital,float64,73.71,0,1.0,1.0,1.0
output_Chandigarh_villa.csv,School,float64,73.14,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,location,str,0.05,102,,,
output_Ghaziabad_builderfloor.csv,area,float64,0.05,0,300.0,5400.0,1260.0
output_Ghaziabad_builderfloor.csv,price,float64,0.04,0,702000.0,35000000.0,6000000.0
output_Ghaziabad_builderfloor.csv,price_currency,str,0.04,1,,,
output_Ghaziabad_builderfloor.csv,status,float64,87.26,0,0.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,new/resale,float64,0.05,0,0.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,price_negotiable,float64,0.05,0,0.0,1.0,0.0
output_Ghaziabad_builderfloor.csv,description,str,0.67,5118,,,
output_Ghaziabad_builderfloor.csv,security_deposit,float64,0.05,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,facing,str,9.6,8,,,
output_Ghaziabad_builderfloor.csv,furnished,float64,0.05,0,0.0,1.0,0.0
output_Ghaziabad_builderfloor.csv,age of property,int64,0.0,0,0.0,122.0,0.0
output_Ghaziabad_builderfloor.csv,Lift(s),float64,0.05,0,0.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,Full Power Backup,float64,0.05,0,0.0,1.0,0.0
output_Ghaziabad_builderfloor.csv,24 X 7 Security,float64,0.05,0,0.0,1.0,0.0
output_Ghaziabad_builderfloor.csv,Children's play area,float64,0.05,0,0.0,1.0,0.0
output_Ghaziabad_builderfloor.csv,Club House,float64,0.05,0,0.0,1.0,0.0
output_Ghaziabad_builderfloor.csv,Gymnasium,float64,0.05,0,0.0,1.0,0.0
output_Ghaziabad_builderfloor.csv,Swimming Pool,float64,0.05,0,0.0,1.0,0.0
output_Ghaziabad_builderfloor.csv,Sports Facility,float64,0.05,0,0.0,1.0,0.0
output_Ghaziabad_builderfloor.csv,Jogging Track,float64,0.05,0,0.0,1.0,0.0
output_Ghaziabad_builderfloor.csv,Landscaped Gardens,float64,0.05,0,0.0,1.0,0.0
output_Ghaziabad_builderfloor.csv,locality_score,float64,64.77,0,5.8,10.0,9.3
output_Ghaziabad_builderfloor.csv,project_score,float64,99.22,0,4.0,9.0,7.8
output_Ghaziabad_builderfloor.csv,builder_experience,float64,95.43,0,13.0,2022.0,2022.0
output_Ghaziabad_builderfloor.csv,Car Parking,float64,91.74,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,Rain Water Harvesting,float64,96.04,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,Intercom,float64,79.43,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,Maintenance Staff,float64,98.93,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,Indoor Games,float64,99.64,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,Vaastu Compliant,float64,95.81,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,Multipurpose Room,float64,99.62,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,ATM,float64,98.39,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,Golf Course,float64,99.98,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,Staff Quarter,float64,99.64,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,Hospital,float64,98.43,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,School,float64,98.17,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,Shopping Mall,float64,98.66,0,1.0,1.0,1.0
output_Ghaziabad_builderfloor.csv,Cafeteria,float64,99.6,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,location,str,0.0,86,,,
output_Ghaziabad_plot.csv,area,int64,0.0,0,180.0,209424.0,900.0
output_Ghaziabad_plot.csv,price,int64,0.0,0,100000.0,99985000.0,1750000.0
output_Ghaziabad_plot.csv,price_currency,str,0.0,1,,,
output_Ghaziabad_plot.csv,status,float64,34.3,0,0.0,1.0,1.0
output_Ghaziabad_plot.csv,new/resale,int64,0.0,0,0.0,1.0,1.0
output_Ghaziabad_plot.csv,price_negotiable,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_plot.csv,description,str,7.47,643,,,
output_Ghaziabad_plot.csv,security_deposit,int64,0.0,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,facing,str,24.2,8,,,
output_Ghaziabad_plot.csv,furnished,int64,0.0,0,0.0,0.0,0.0
output_Ghaziabad_plot.csv,age of property,int64,0.0,0,0.0,122.0,0.0
output_Ghaziabad_plot.csv,Gymnasium,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_plot.csv,Children's play area,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_plot.csv,Club House,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_plot.csv,Lift(s),int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_plot.csv,Swimming Pool,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_plot.csv,Landscaped Gardens,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_plot.csv,Rain Water Harvesting,float64,90.18,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,Maintenance Staff,float64,91.01,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,Jogging Track,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_plot.csv,Sports Facility,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_plot.csv,Car Parking,float64,81.05,0,1.0,1.0,1.0
