plot_type,city,price,Unit,Rupee_per_area,Area,state
3 BHK Apartment,Bangalore, 1.43 Cr, Cr,"8,011 / sq ft",1785,karnataka
3 BHK Apartment,Bangalore, 1.39 Cr, Cr,"8,011 / sq ft",1735,karnataka
Residential Plot,Bangalore, 1.37 Cr, Cr,"8,011 / sq ft",1710,karnataka
3 BHK Apartment,Bangalore, 1.25 Cr, Cr,"8,012 / sq ft",1560,karnataka
2 BHK Apartment,Bangalore, 1 Cr, Cr,"8,012 / sq ft",1248,karnataka
4 BHK Apartment,Bangalore, 1.9 Cr, Cr,"8,013 / sq ft",2371,karnataka
2 BHK Apartment,Bangalore, 91.85 L, L,"8,015 / sq ft",1146,karnataka
3 BHK Apartment,Bangalore, 83.04 L, L,"8,015 / sq ft",1036,karnataka
3 BHK Apartment,Bangalore, 1.6 Cr, Cr,"8,016 / sq ft",1996,karnataka
2 BHK Apartment,Bangalore, 91.7 L, L,"8,016 / sq ft",1144,karnataka
3 BHK Apartment,Bangalore, 1.44 Cr, Cr,"8,017 / sq ft",1796,karnataka
3 BHK Apartment,Bangalore, 1.12 Cr, Cr,"8,017 / sq ft",1397,karnataka
3 BHK Apartment,Bangalore, 1.1 Cr, Cr,"8,017 / sq ft",1372,karnataka
2 BHK Apartment,Bangalore, 1.08 Cr, Cr,"8,018 / sq ft",1350,karnataka
2 BHK Apartment,Bangalore, 91.26 L, L,"8,019 / sq ft",1138,karnataka
3 BHK Villa,Bangalore, 1.63 Cr, Cr,"8,021 / sq ft",2032,karnataka
3 BHK Apartment,Bangalore, 99 L, L,"8,022 / sq ft",1234,karnataka
2 BHK Apartment,Bangalore, 85.2 L, L,"8,022 / sq ft",1062,karnataka
2 BHK Apartment,Bangalore, 84 L, L,"8,022 / sq ft",1047,karnataka
3 BHK Apartment,Bangalore, 1.14 Cr, Cr,"8,023 / sq ft",1427,karnataka
4 BHK Apartment,Bangalore, 2.56 Cr, Cr,"8,024 / sq ft",3197,karnataka
3 BHK Apartment,Bangalore, 1.3 Cr, Cr,"8,024 / sq ft",1620,karnataka
3 BHK Apartment,Bangalore, 1.06 Cr, Cr,"8,024 / sq ft",1321,karnataka
4 BHK Apartment,Bangalore, 2.4 Cr, Cr,"8,026 / sq ft",2990,karnataka
3 BHK Apartment,Bangalore, 1.48 Cr, Cr,"8,026 / sq ft",1844,karnataka
3 BHK Apartment,Bangalore, 1.35 Cr, Cr,"8,026 / sq ft",1682,karnataka
3 BHK Apartment,Bangalore, 1.22 Cr, Cr,"8,026 / sq ft",1520,karnataka
2 BHK Apartment,Bangalore, 1.08 Cr, Cr,"8,026 / sq ft",1350,karnataka
1 BHK Apartment,Bangalore, 61 L, L,"8,026 / sq ft",760,karnataka
2 BHK Apartment,Bangalore, 1.1 Cr, Cr,"8,029 / sq ft",1370,karnataka
2 BHK Apartment,Bangalore, 95 L, L,"8,030 / sq ft",1183,karnataka
2 BHK Apartment,Bangalore, 1 Cr, Cr,"8,032 / sq ft",1245,karnataka
2 BHK Apartment,Bangalore, 98 L, L,"8,032 / sq ft",1220,karnataka
4 BHK Apartment,Bangalore, 2.33 Cr, Cr,"8,034 / sq ft",2900,karnataka
2 BHK Apartment,Bangalore, 85 L, L,"8,034 / sq ft",1058,karnataka
5 BHK Independent House,Bangalore, 2.25 Cr, Cr,"8,035 / sq ft",2800,karnataka
3 BHK Apartment,Bangalore, 1.35 Cr, Cr,"8,035 / sq ft",1680,karnataka
2 BHK Independent House,Bangalore, 90 L, L,"8,035 / sq ft",1120,karnataka
1 BHK Independent House,Bangalore, 45 L, L,"8,035 / sq ft",560,karnataka
2 BHK Apartment,Bangalore, 99 L, L,"8,036 / sq ft",1232,karnataka
3 BHK Apartment,Bangalore, 1.41 Cr, Cr,"8,038 / sq ft",1754,karnataka
4 BHK Apartment,Bangalore, 2.2 Cr, Cr,"8,040 / sq ft",2232,karnataka
4 BHK Apartment,Bangalore, 1.75 Cr, Cr,"8,040 / sq ft",2182,karnataka
3 BHK Apartment,Bangalore, 1.03 Cr, Cr,"8,040 / sq ft",1281,karnataka
3 BHK Villa,Bangalore, 1.62 Cr, Cr,"8,043 / sq ft",2014,karnataka
4 BHK Villa,Bangalore, 2.75 Cr, Cr,"8,045 / sq ft",3418,karnataka
3 BHK Apartment,Bangalore, 1.4 Cr, Cr,"8,045 / sq ft",1740,karnataka
3 BHK Apartment,Bangalore, 1.35 Cr, Cr,"8,045 / sq ft",1678,karnataka
3 BHK Apartment,Bangalore, 1.35 Cr, Cr,"8,046 / sq ft",1678,karnataka
2 BHK Apartment,Bangalore, 1.33 Cr, Cr,"8,046 / sq ft",1405,karnataka
1 BHK Apartment,Bangalore, 62.99 L, L,"8,046 / sq ft",661,karnataka
4 BHK Apartment,Bangalore, 1.65 Cr, Cr,"8,048 / sq ft",2050,karnataka
3 BHK Apartment,Bangalore, 1.65 Cr, Cr,"8,048 / sq ft",2050,karnataka
3 BHK Apartment,Bangalore, 1.57 Cr, Cr,"8,051 / sq ft",1950,karnataka
2 BHK Apartment,Bangalore, 1.02 Cr, Cr,"8,051 / sq ft",1274,karnataka
2 BHK Apartment,Bangalore, 1.02 Cr, Cr,"8,051 / sq ft",1272,karnataka
2 BHK Apartment,Bangalore, 1.02 Cr, Cr,"8,051 / sq ft",1267,karnataka
2 BHK Apartment,Bangalore, 1 Cr, Cr,"8,051 / sq ft",1242,karnataka
4 BHK Villa,Bangalore, 2.11 Cr, Cr,"8,054 / sq ft",2629,karnataka
3 BHK Apartment,Bangalore, 1.3 Cr, Cr,"8,054 / sq ft",1614,karnataka
3 BHK Apartment,Bangalore, 1.01 Cr, Cr,"8,054 / sq ft",1254,karnataka
2 BHK Apartment,Bangalore, 96.9 L, L,"8,054 / sq ft",1203,karnataka
6 BHK Independent House,Bangalore, 2.9 Cr, Cr,"8,055 / sq ft",3600,karnataka
4 BHK Apartment,Bangalore, 1.45 Cr, Cr,"8,055 / sq ft",1800,karnataka
3 BHK Independent Floor,Bangalore, 1.45 Cr, Cr,"8,055 / sq ft",1800,karnataka
3 BHK Apartment,Bangalore, 1.45 Cr, Cr,"8,055 / sq ft",1800,karnataka
3 BHK Apartment,Bangalore, 1.23 Cr, Cr,"8,055 / sq ft",1527,karnataka
3 BHK Apartment,Bangalore, 1.57 Cr, Cr,"8,056 / sq ft",1960,karnataka
3 BHK Apartment,Bangalore, 1.4 Cr, Cr,"8,060 / sq ft",1743,karnataka
4 BHK Villa,Bangalore, 2.18 Cr, Cr,"8,062 / sq ft",2704,karnataka
3 BHK Apartment,Bangalore, 1.01 Cr, Cr,"8,062 / sq ft",1254,karnataka
1 BHK Apartment,Bangalore, 52 L, L,"8,062 / sq ft",645,karnataka
3 BHK Apartment,Bangalore, 1.39 Cr, Cr,"8,063 / sq ft",1725,karnataka
3 BHK Apartment,Bangalore, 1.45 Cr, Cr,"8,064 / sq ft",1798,karnataka
3 BHK Apartment,Bangalore, 1.3 Cr, Cr,"8,064 / sq ft",1612,karnataka
3 BHK Apartment,Bangalore, 1.25 Cr, Cr,"8,064 / sq ft",1550,karnataka
2 BHK Apartment,Bangalore, 1 Cr, Cr,"8,064 / sq ft",1240,karnataka
3 BHK Apartment,Bangalore, 1.05 Cr, Cr,"8,065 / sq ft",1308,karnataka
2 BHK Apartment,Bangalore, 98 L, L,"8,065 / sq ft",1215,karnataka
2 BHK Apartment,Bangalore, 1.21 Cr, Cr,"8,066 / sq ft",1500,karnataka
Residential Plot,Bangalore, 1.2 Cr, Cr,"8,066 / sq ft",1500,karnataka
3 BHK Apartment,Bangalore, 1.25 Cr, Cr,"8,069 / sq ft",1549,karnataka
3 BHK Villa,Bangalore, 1.64 Cr, Cr,"8,070 / sq ft",2032,karnataka
3 BHK Apartment,Bangalore, 1.36 Cr, Cr,"8,070 / sq ft",1692,karnataka
3 BHK Apartment,Bangalore, 1.15 Cr, Cr,"8,070 / sq ft",1425,karnataka
1 BHK Apartment,Bangalore, 46 L, L,"8,070 / sq ft",570,karnataka
3 BHK Apartment,Bangalore, 1.44 Cr, Cr,"8,071 / sq ft",1784,karnataka
2 BHK Apartment,Bangalore, 97.1 L, L,"8,071 / sq ft",1203,karnataka
1 BHK Apartment,Bangalore, 54.07 L, L,"8,071 / sq ft",670,karnataka
1 BHK Apartment,Bangalore, 54 L, L,"8,071 / sq ft",669,karnataka
3 BHK Apartment,Bangalore, 1.46 Cr, Cr,"8,075 / sq ft",1809,karnataka
3 BHK Apartment,Bangalore, 1.15 Cr, Cr,"8,075 / sq ft",1424,karnataka
1 BHK Apartment,Bangalore, 47 L, L,"8,075 / sq ft",582,karnataka
4 BHK Villa,Bangalore, 2.1 Cr, Cr,"8,076 / sq ft",2600,karnataka
4 BHK Independent House,Bangalore, 2.1 Cr, Cr,"8,076 / sq ft",2600,karnataka
4 BHK Villa,Bangalore, 2.8 Cr, Cr,"8,078 / sq ft",3466,karnataka
2 BHK Apartment,Bangalore, 96.93 L, L,"8,078 / sq ft",1200,karnataka
2 BHK Apartment,Bangalore, 92.9 L, L,"8,078 / sq ft",1150,karnataka
2 BHK Apartment,Bangalore, 98 L, L,"8,079 / sq ft",1213,karnataka
2 BHK Apartment,Bangalore, 85 L, L,"8,079 / sq ft",1052,karnataka
4 BHK Villa,Bangalore, 1.6 Cr, Cr,"8,080 / sq ft",1980,karnataka
2 BHK Apartment,Bangalore, 80 L, L,"8,080 / sq ft",990,karnataka
3 BHK Apartment,Bangalore, 1.58 Cr, Cr,"8,081 / sq ft",1955,karnataka
2 BHK Apartment,Bangalore, 79.2 L, L,"8,081 / sq ft",980,karnataka
1 BHK Apartment,Bangalore, 53.34 L, L,"8,081 / sq ft",660,karnataka
3 BHK Apartment,Bangalore, 1.1 Cr, Cr,"8,082 / sq ft",1361,karnataka
2 BHK Apartment,Bangalore, 79.2 L, L,"8,082 / sq ft",980,karnataka
2 BHK Apartment,Bangalore, 1.02 Cr, Cr,"8,083 / sq ft",1274,karnataka
2 BHK Independent House,Bangalore, 97 L, L,"8,083 / sq ft",1200,karnataka
3 BHK Villa,Bangalore, 1.9 Cr, Cr,"8,085 / sq ft",2350,karnataka
3 BHK Apartment,Bangalore, 1.55 Cr, Cr,"8,085 / sq ft",1917,karnataka
2 BHK Apartment,Bangalore, 95 L, L,"8,085 / sq ft",1175,karnataka
2 BHK Apartment,Bangalore, 79 L, L,"8,085 / sq ft",977,karnataka
3 BHK Apartment,Bangalore, 1.86 Cr, Cr,"8,086 / sq ft",2300,karnataka
8 BHK Independent House,Bangalore, 2.75 Cr, Cr,"8,088 / sq ft",3400,karnataka
3 BHK Apartment,Bangalore, 1.33 Cr, Cr,"8,088 / sq ft",1645,karnataka
2 BHK Apartment,Bangalore, 1.24 Cr, Cr,"8,088 / sq ft",1533,karnataka
4 BHK Villa,Bangalore, 1.97 Cr, Cr,"8,089 / sq ft",2444,karnataka
3 BHK Apartment,Bangalore, 1.44 Cr, Cr,"8,089 / sq ft",1780,karnataka
3 BHK Apartment,Bangalore, 1.13 Cr, Cr,"8,089 / sq ft",1408,karnataka
2 BHK Apartment,Bangalore, 1.08 Cr, Cr,"8,089 / sq ft",1335,karnataka
3 BHK Apartment,Bangalore, 1.78 Cr, Cr,"8,090 / sq ft",2200,karnataka
3 BHK Apartment,Bangalore, 1.32 Cr, Cr,"8,090 / sq ft",1635,karnataka
1 BHK Apartment,Bangalore, 50 L, L,"8,090 / sq ft",618,karnataka
3 BHK Apartment,Bangalore, 1.2 Cr, Cr,"8,091 / sq ft",1483,karnataka
2 BHK Apartment,Bangalore, 87.08 L, L,"8,092 / sq ft",1076,karnataka
3 BHK Villa,Bangalore, 1.63 Cr, Cr,"8,093 / sq ft",2014,karnataka
3 BHK Apartment,Bangalore, 1.38 Cr, Cr,"8,093 / sq ft",1705,karnataka
3 BHK Apartment,Bangalore, 1.29 Cr, Cr,"8,094 / sq ft",1605,karnataka
1 BHK Apartment,Bangalore, 54.15 L, L,"8,094 / sq ft",669,karnataka
5 BHK Independent House,Bangalore, 1.7 Cr, Cr,"8,095 / sq ft",2100,karnataka
4 BHK Villa,Bangalore, 1.7 Cr, Cr,"8,095 / sq ft",2100,karnataka
3 BHK Independent Floor,Bangalore, 1.7 Cr, Cr,"8,095 / sq ft",2100,karnataka
3 BHK Apartment,Bangalore, 1.42 Cr, Cr,"8,095 / sq ft",1754,karnataka
2 BHK Apartment,Bangalore, 1.08 Cr, Cr,"8,095 / sq ft",1334,karnataka
3 BHK Apartment,Bangalore, 1.19 Cr, Cr,"8,097 / sq ft",1482,karnataka
2 BHK Apartment,Bangalore, 86 L, L,"8,097 / sq ft",1062,karnataka
2 BHK Apartment,Bangalore, 83 L, L,"8,097 / sq ft",1025,karnataka
3 BHK Apartment,Bangalore, 1.35 Cr, Cr,"8,098 / sq ft",1668,karnataka
2 BHK Apartment,Bangalore, 95 L, L,"8,098 / sq ft",1173,karnataka
3 BHK Apartment,Bangalore, 1.3 Cr, Cr,"8,099 / sq ft",1605,karnataka
Residential Plot,Bangalore, 4.45 Cr, Cr,"8,100 / sq ft",5500,karnataka
4 BHK Apartment,Bangalore, 1.2 Cr, Cr,"8,101 / sq ft",1486,karnataka
2 BHK Apartment,Bangalore, 93 L, L,"8,101 / sq ft",1148,karnataka
2 BHK Apartment,Bangalore, 84.5 L, L,"8,101 / sq ft",1043,karnataka
3 BHK Apartment,Bangalore, 1.25 Cr, Cr,"8,103 / sq ft",1550,karnataka
3 BHK Apartment,Bangalore, 1 Cr, Cr,"8,103 / sq ft",1234,karnataka
3 BHK Apartment,Bangalore, 1.33 Cr, Cr,"8,104 / sq ft",1641,karnataka
3 BHK Apartment,Bangalore, 1.25 Cr, Cr,"8,104 / sq ft",1545,karnataka
Residential Plot,Bangalore, 4.15 Cr, Cr,"8,108 / sq ft",5118,karnataka
4 BHK Villa,Bangalore, 3 Cr, Cr,"8,108 / sq ft",3700,karnataka
3 BHK Apartment,Bangalore, 1.95 Cr, Cr,"8,108 / sq ft",2405,karnataka
3 BHK Apartment,Bangalore, 1.5 Cr, Cr,"8,108 / sq ft",1850,karnataka
4 BHK Independent House,Bangalore, 1.5 Cr, Cr,"8,108 / sq ft",1850,karnataka
1 BHK Apartment,Bangalore, 51 L, L,"8,108 / sq ft",629,karnataka
4 BHK Apartment,Bangalore, 1.79 Cr, Cr,"8,110 / sq ft",2207,karnataka
2 BHK Apartment,Bangalore, 1.06 Cr, Cr,"8,110 / sq ft",1111,karnataka
2 BHK Apartment,Bangalore, 85 L, L,"8,110 / sq ft",1048,karnataka
3 BHK Apartment,Bangalore, 1.22 Cr, Cr,"8,111 / sq ft",1505,karnataka
1 BHK Apartment,Bangalore, 55 L, L,"8,112 / sq ft",678,karnataka
2 BHK Apartment,Bangalore, 1.2 Cr, Cr,"8,113 / sq ft",1479,karnataka
4 BHK Apartment,Bangalore, 1.85 Cr, Cr,"8,114 / sq ft",2281,karnataka
3 BHK Villa,Bangalore, 1.7 Cr, Cr,"8,114 / sq ft",2095,karnataka
3 BHK Apartment,Bangalore, 1.42 Cr, Cr,"8,114 / sq ft",1750,karnataka
3 BHK Apartment,Bangalore, 1.25 Cr, Cr,"8,116 / sq ft",1540,karnataka
2 BHK Apartment,Bangalore, 1 Cr, Cr,"8,116 / sq ft",1232,karnataka
4 BHK Villa,Bangalore, 2.2 Cr, Cr,"8,118 / sq ft",2710,karnataka
3 BHK Villa,Bangalore, 2.2 Cr, Cr,"8,118 / sq ft",2710,karnataka
2 BHK Apartment,Bangalore, 1.2 Cr, Cr,"8,119 / sq ft",1479,karnataka
2 BHK Apartment,Bangalore, 95 L, L,"8,119 / sq ft",1170,karnataka
3 BHK Villa,Bangalore, 1.6 Cr, Cr,"8,121 / sq ft",1970,karnataka
4 BHK Apartment,Bangalore, 2.25 Cr, Cr,"8,122 / sq ft",2770,karnataka
1 BHK Apartment,Bangalore, 45 L, L,"8,122 / sq ft",554,karnataka
3 BHK Apartment,Bangalore, 1.23 Cr, Cr,"8,124 / sq ft",1514,karnataka
2 BHK Apartment,Bangalore, 1.23 Cr, Cr,"8,124 / sq ft",1514,karnataka
4 BHK Independent House,Bangalore, 3.9 Cr, Cr,"8,125 / sq ft",4800,karnataka
7 BHK Villa,Bangalore, 3.25 Cr, Cr,"8,125 / sq ft",4000,karnataka
7 BHK Independent House,Bangalore, 3.25 Cr, Cr,"8,125 / sq ft",4000,karnataka
4 BHK Villa,Bangalore, 2.6 Cr, Cr,"8,125 / sq ft",3200,karnataka
Residential Plot,Mysore, 1.95 Cr, Cr,"8,125 / sq ft",2400,karnataka
4 BHK Apartment,Bangalore, 1.5 Cr, Cr,"8,125 / sq ft",1846,karnataka
3 BHK Apartment,Bangalore, 1.46 Cr, Cr,"8,125 / sq ft",1800,karnataka
2 BHK Apartment,Bangalore, 1.3 Cr, Cr,"8,125 / sq ft",1600,karnataka
3 BHK Apartment,Bangalore, 1.3 Cr, Cr,"8,125 / sq ft",1600,karnataka
2 BHK Apartment,Bangalore, 1.04 Cr, Cr,"8,125 / sq ft",1280,karnataka
2 BHK Independent House,Bangalore, 65 L, L,"8,125 / sq ft",800,karnataka
2 BHK Apartment,Bangalore, 86.3 L, L,"8,126 / sq ft",1062,karnataka
3 BHK Apartment,Bangalore, 1.16 Cr, Cr,"8,128 / sq ft",1427,karnataka
3 BHK Apartment,Bangalore, 1.34 Cr, Cr,"8,130 / sq ft",1652,karnataka
5 BHK Apartment,Bangalore, 2.48 Cr, Cr,"8,131 / sq ft",3050,karnataka
3 BHK Apartment,Bangalore, 1.35 Cr, Cr,"8,132 / sq ft",1660,karnataka
3 BHK Apartment,Bangalore, 1.33 Cr, Cr,"8,133 / sq ft",1641,karnataka
Residential Plot,Bangalore, 1.22 Cr, Cr,"8,133 / sq ft",1500,karnataka
2 BHK Apartment,Bangalore, 85 L, L,"8,133 / sq ft",1045,karnataka
2 BHK Apartment,Bangalore, 1.16 Cr, Cr,"8,134 / sq ft",1427,karnataka
3 BHK Apartment,Bangalore, 1.79 Cr, Cr,"8,136 / sq ft",2200,karnataka
3 BHK Apartment,Bangalore, 1.56 Cr, Cr,"8,137 / sq ft",1917,karnataka
3 BHK Independent Floor,Bangalore, 1.75 Cr, Cr,"8,139 / sq ft",2150,karnataka
3 BHK Apartment,Bangalore, 1.38 Cr, Cr,"8,139 / sq ft",1705,karnataka
2 BHK Apartment,Bangalore, 1.05 Cr, Cr,"8,139 / sq ft",1290,karnataka
1 BHK Apartment,Bangalore, 39.71 L, L,"8,139 / sq ft",488,karnataka
3 BHK Villa,Bangalore, 1.3 Cr, Cr,"8,140 / sq ft",1597,karnataka
2 BHK Apartment,Bangalore, 85 L, L,"8,141 / sq ft",1044,karnataka
4 BHK Apartment,Bangalore, 2.99 Cr, Cr,"8,142 / sq ft",3672,karnataka
3 BHK Apartment,Bangalore, 1.71 Cr, Cr,"8,142 / sq ft",2100,karnataka
3 BHK Villa,Bangalore, 1.64 Cr, Cr,"8,142 / sq ft",2014,karnataka
2 BHK Apartment,Bangalore, 79.55 L, L,"8,142 / sq ft",977,karnataka
4 BHK Villa,Bangalore, 2.22 Cr, Cr,"8,143 / sq ft",2726,karnataka
3 BHK Apartment,Bangalore, 1.83 Cr, Cr,"8,144 / sq ft",1910,karnataka
3 BHK Apartment,Bangalore, 1.45 Cr, Cr,"8,146 / sq ft",1780,karnataka
2 BHK Apartment,Bangalore, 98 L, L,"8,146 / sq ft",1203,karnataka
3 BHK Apartment,Bangalore, 1.35 Cr, Cr,"8,147 / sq ft",1657,karnataka
4 BHK Independent House,Bangalore, 2.2 Cr, Cr,"8,148 / sq ft",2700,karnataka
3 BHK Apartment,Bangalore, 1.32 Cr, Cr,"8,148 / sq ft",1620,karnataka
3 BHK Apartment,Bangalore, 1.1 Cr, Cr,"8,148 / sq ft",1350,karnataka
Residential Plot,Bangalore, 1.48 Cr, Cr,"8,149 / sq ft",1816,karnataka
2 BHK Apartment,Bangalore, 74 L, L,"8,149 / sq ft",908,karnataka
4 BHK Villa,Bangalore, 3.23 Cr, Cr,"8,150 / sq ft",3963,karnataka
3 BHK Villa,Bangalore, 2.54 Cr, Cr,"8,150 / sq ft",3117,karnataka
3 BHK Apartment,Bangalore, 89 L, L,"8,150 / sq ft",1092,karnataka
10 BHK Independent House,Bangalore, 3.75 Cr, Cr,"8,152 / sq ft",4600,karnataka
3 BHK Apartment,Bangalore, 1.43 Cr, Cr,"8,152 / sq ft",1754,karnataka
2 BHK Apartment,Bangalore, 1.21 Cr, Cr,"8,153 / sq ft",1484,karnataka
4 BHK Villa,Bangalore, 3.23 Cr, Cr,"8,154 / sq ft",3963,karnataka
3 BHK Apartment,Bangalore, 1.5 Cr, Cr,"8,156 / sq ft",1839,karnataka
5 BHK Independent House,Bangalore, 3.1 Cr, Cr,"8,157 / sq ft",3800,karnataka
3 BHK Apartment,Bangalore, 1.55 Cr, Cr,"8,157 / sq ft",1900,karnataka
2 BHK Apartment,Bangalore, 74 L, L,"8,158 / sq ft",907,karnataka
3 BHK Apartment,Bangalore, 1.25 Cr, Cr,"8,159 / sq ft",1532,karnataka
3 BHK Apartment,Bangalore, 1.53 Cr, Cr,"8,160 / sq ft",1875,karnataka
5 BHK Independent House,Bangalore, 4.49 Cr, Cr,"8,163 / sq ft",5500,karnataka
4 BHK Villa,Bangalore, 4 Cr, Cr,"8,163 / sq ft",4900,karnataka
4 BHK Independent House,Bangalore, 2 Cr, Cr,"8,163 / sq ft",2450,karnataka
2 BHK Apartment,Bangalore, 1 Cr, Cr,"8,163 / sq ft",1225,karnataka
3 BHK Apartment,Bangalore, 1 Cr, Cr,"8,163 / sq ft",1225,karnataka
3 BHK Apartment,Bangalore, 1.3 Cr, Cr,"8,165 / sq ft",1592,karnataka
Residential Plot,Bangalore, 98 L, L,"8,166 / sq ft",1200,karnataka
2 BHK Independent House,Bangalore, 98 L, L,"8,166 / sq ft",1200,karnataka
4 BHK Villa,Bangalore, 2.92 Cr, Cr,"8,167 / sq ft",3575,karnataka
3 BHK Independent House,Bangalore, 98 L, L,"8,167 / sq ft",1200,karnataka
2 BHK Apartment,Bangalore, 1.16 Cr, Cr,"8,169 / sq ft",1420,karnataka
3 BHK Apartment,Bangalore, 2.05 Cr, Cr,"8,170 / sq ft",1935,karnataka
2 BHK Apartment,Bangalore, 57.41 L, L,"8,170 / sq ft",703,karnataka
3 BHK Apartment,Bangalore, 1.35 Cr, Cr,"8,171 / sq ft",1652,karnataka
2 BHK Apartment,Bangalore, 1.05 Cr, Cr,"8,171 / sq ft",1285,karnataka
3 BHK Independent House,Bangalore, 98.08 L, L,"8,173 / sq ft",1200,karnataka
4 BHK Independent House,Bangalore, 94 L, L,"8,173 / sq ft",1150,karnataka
2 BHK Apartment,Bangalore, 85 L, L,"8,173 / sq ft",1040,karnataka
2 BHK Apartment,Bangalore, 1.17 Cr, Cr,"8,176 / sq ft",1431,karnataka
4 BHK Apartment,Bangalore, 1.75 Cr, Cr,"8,177 / sq ft",2140,karnataka
3 BHK Apartment,Bangalore, 1.8 Cr, Cr,"8,178 / sq ft",1985,karnataka
3 BHK Apartment,Bangalore, 1.36 Cr, Cr,"8,178 / sq ft",1674,karnataka
3 BHK Apartment,Bangalore, 1.4 Cr, Cr,"8,178 / sq ft",1320,karnataka
2 BHK Apartment,Bangalore, 1.07 Cr, Cr,"8,178 / sq ft",1318,karnataka
6 BHK Independent House,Bangalore, 4.5 Cr, Cr,"8,181 / sq ft",5500,karnataka
10 BHK Independent Floor,Bangalore, 4.5 Cr, Cr,"8,181 / sq ft",5500,karnataka
5 BHK Independent House,Bangalore, 4.5 Cr, Cr,"8,181 / sq ft",5500,karnataka
5 BHK Independent House,Bangalore, 2.25 Cr, Cr,"8,181 / sq ft",2750,karnataka
3 BHK Apartment,Bangalore, 1.35 Cr, Cr,"8,181 / sq ft",1650,karnataka
2 BHK Apartment,Bangalore, 90 L, L,"8,181 / sq ft",1100,karnataka
1 RK Studio Apartment,Bangalore, 36 L, L,"8,181 / sq ft",440,karnataka
4 BHK Villa,Bangalore, 2 Cr, Cr,"8,183 / sq ft",2444,karnataka
3 BHK Apartment,Bangalore, 2.15 Cr, Cr,"8,184 / sq ft",2627,karnataka
3 BHK Apartment,Bangalore, 1.15 Cr, Cr,"8,185 / sq ft",1405,karnataka
2 BHK Apartment,Bangalore, 63.59 L, L,"8,185 / sq ft",777,karnataka
2 BHK Apartment,Bangalore, 94 L, L,"8,188 / sq ft",1148,karnataka
1 BHK Apartment,Bangalore, 52 L, L,"8,188 / sq ft",635,karnataka
3 BHK Villa,Bangalore, 1.9 Cr, Cr,"8,189 / sq ft",2320,karnataka
3 BHK Apartment,Bangalore, 1.57 Cr, Cr,"8,189 / sq ft",1917,karnataka
1 RK Studio Apartment,Bangalore, 95 L, L,"8,189 / sq ft",1160,karnataka
3 BHK Apartment,Bangalore, 1.35 Cr, Cr,"8,191 / sq ft",1648,karnataka
2 BHK Apartment,Bangalore, 1.12 Cr, Cr,"8,191 / sq ft",1375,karnataka
3 BHK Apartment,Bangalore, 1.45 Cr, Cr,"8,192 / sq ft",1770,karnataka
2 BHK Apartment,Bangalore, 1.02 Cr, Cr,"8,192 / sq ft",1245,karnataka
2 BHK Apartment,Bangalore, 87 L, L,"8,192 / sq ft",1062,karnataka
2 BHK Apartment,Bangalore, 77.5 L, L,"8,192 / sq ft",946,karnataka
2 BHK Apartment,Bangalore, 1.46 Cr, Cr,"8,193 / sq ft",1782,karnataka
4 BHK Apartment,Bangalore, 2.41 Cr, Cr,"8,194 / sq ft",2500,karnataka
2 BHK Apartment,Bangalore, 1.18 Cr, Cr,"8,194 / sq ft",1440,karnataka
1 RK Studio Apartment,Bangalore, 54.9 L, L,"8,194 / sq ft",670,karnataka
1 BHK Apartment,Bangalore, 54.9 L, L,"8,194 / sq ft",670,karnataka
3 BHK Villa,Bangalore, 1.68 Cr, Cr,"8,195 / sq ft",2050,karnataka
Residential Plot,Bangalore, 1.18 Cr, Cr,"8,195 / sq ft",1440,karnataka
2 BHK Apartment,Bangalore, 94 L, L,"8,195 / sq ft",1147,karnataka
2 BHK Apartment,Bangalore, 84 L, L,"8,195 / sq ft",1025,karnataka
3 BHK Apartment,Bangalore, 1.65 Cr, Cr,"8,196 / sq ft",2013,karnataka
3 BHK Apartment,Bangalore, 1.4 Cr, Cr,"8,196 / sq ft",1708,karnataka
Residential Plot,Bangalore, 1.18 Cr, Cr,"8,196 / sq ft",1440,karnataka
2 BHK Apartment,Bangalore, 95 L, L,"8,196 / sq ft",1159,karnataka
1 BHK Apartment,Bangalore, 50 L, L,"8,196 / sq ft",610,karnataka
3 BHK Apartment,Bangalore, 1.57 Cr, Cr,"8,198 / sq ft",1915,karnataka
2 BHK Apartment,Bangalore, 1.08 Cr, Cr,"8,198 / sq ft",1320,karnataka
2 BHK Apartment,Bangalore, 1.01 Cr, Cr,"8,198 / sq ft",1232,karnataka
4 BHK Apartment,Bangalore, 2.7 Cr, Cr,"8,200 / sq ft",2765,karnataka
4 BHK Apartment,Bangalore, 2.17 Cr, Cr,"8,200 / sq ft",2655,karnataka
4 BHK Apartment,Bangalore, 2.41 Cr, Cr,"8,200 / sq ft",2500,karnataka
3 BHK Apartment,Bangalore, 1.91 Cr, Cr,"8,200 / sq ft",1985,karnataka
3 BHK Apartment,Bangalore, 1.86 Cr, Cr,"8,200 / sq ft",1935,karnataka
3 BHK Apartment,Bangalore, 1.6 Cr, Cr,"8,200 / sq ft",1655,karnataka
3 BHK Apartment,Bangalore, 1.4 Cr, Cr,"8,200 / sq ft",1355,karnataka
3 BHK Apartment,Bangalore, 1.31 Cr, Cr,"8,200 / sq ft",1335,karnataka
