plot_type,city,price,Unit,Rupee_per_area,Area,state
Residential Plot,Visakhapatnam, 19 L, L,"1,052 / sq ft",1806,andhra pradesh
Residential Plot,Visakhapatnam, 11.25 L, L,"1,053 / sq ft",1068,andhra pradesh
Residential Plot,Visakhapatnam, 19.65 L, L,"1,054 / sq ft",1864,andhra pradesh
Residential Plot,Visakhapatnam, 38 L, L,"1,055 / sq ft",3600,andhra pradesh
Residential Plot,Visakhapatnam, 20.9 L, L,"1,055 / sq ft",1980,andhra pradesh
Residential Plot,Visakhapatnam, 19 L, L,"1,055 / sq ft",1800,andhra pradesh
Residential Plot,Guntur, 19 L, L,"1,055 / sq ft",1800,andhra pradesh
Residential Plot,Kakinada, 18.24 L, L,"1,055 / sq ft",1728,andhra pradesh
Residential Plot,Vizianagaram, 17.38 L, L,"1,055 / sq ft",1647,andhra pradesh
Residential Plot,Visakhapatnam, 15.86 L, L,"1,055 / sq ft",1503,andhra pradesh
Residential Plot,Kakinada, 14.25 L, L,"1,055 / sq ft",1350,andhra pradesh
Residential Plot,Guntur, 13.11 L, L,"1,055 / sq ft",1242,andhra pradesh
Residential Plot,Guntur, 12.63 L, L,"1,055 / sq ft",1197,andhra pradesh
Residential Plot,Kakinada, 9.5 L, L,"1,055 / sq ft",900,andhra pradesh
Residential Plot,Visakhapatnam, 8.55 L, L,"1,055 / sq ft",810,andhra pradesh
Residential Plot,Vizianagaram, 8.55 L, L,"1,055 / sq ft",810,andhra pradesh
Residential Plot,Vijayawada, 18.74 L, L,"1,056 / sq ft",1774,andhra pradesh
Residential Plot,Vizianagaram, 31.72 L, L,"1,060 / sq ft",2990,andhra pradesh
Residential Plot,Visakhapatnam, 17.41 L, L,"1,061 / sq ft",1640,andhra pradesh
Residential Plot,Visakhapatnam, 50 L, L,"1,063 / sq ft",4700,andhra pradesh
Residential Plot,Visakhapatnam, 16 L, L,"1,063 / sq ft",1504,andhra pradesh
Residential Plot,Visakhapatnam, 16 L, L,"1,064 / sq ft",1503,andhra pradesh
Residential Plot,Visakhapatnam, 16 L, L,"1,065 / sq ft",1502,andhra pradesh
