property_type,city,total_price,unit,builtup_area_sqft,area,state
Plot/Land,Visakhapatnam,44.0, L,1222.0,3600,Andhra Pradesh
Plot/Land,Visakhapatnam,29.37, L,1222.0,2403,Andhra Pradesh
Plot/Land,Visakhapatnam,23.84, L,1222.0,1950,Andhra Pradesh
Plot/Land,Visakhapatnam,22.0, L,1222.0,1800,Andhra Pradesh
Plot/Land,Vizianagaram,22.0, L,1222.0,1800,Andhra Pradesh
Plot/Land,Guntur,22.0, L,1222.0,1800,Andhra Pradesh
Plot/Land,Tirupati,22.0, L,1222.0,1800,Andhra Pradesh
Plot/Land,Guntur,21.34, L,1222.0,1746,Andhra Pradesh
Plot/Land,Guntur,20.57, L,1222.0,1683,Andhra Pradesh
Plot/Land,Vizianagaram,18.7, L,1222.0,1530,Andhra Pradesh
Plot/Land,Visakhapatnam,18.37, L,1222.0,1503,Andhra Pradesh
Plot/Land,Vizianagaram,18.37, L,1222.0,1503,Andhra Pradesh
Plot/Land,Visakhapatnam,16.5, L,1222.0,1350,Andhra Pradesh
Plot/Land,Vijayawada,16.5, L,1222.0,1350,Andhra Pradesh
Plot/Land,Visakhapatnam,9.9, L,1222.0,810,Andhra Pradesh
Plot/Land,Vizianagaram,39.76, L,1223.0,3250,Andhra Pradesh
Plot/Land,Visakhapatnam,27.0, L,1229.0,2196,Andhra Pradesh
Plot/Land,Visakhapatnam,32.0, L,1230.0,2600,Andhra Pradesh
Plot/Land,Tirupati,65.0, L,1231.0,5280,Andhra Pradesh
Plot/Land,Visakhapatnam,18.6, L,1231.0,1510,Andhra Pradesh
Plot/Land,Visakhapatnam,23.0, L,1235.0,1862,Andhra Pradesh
Plot/Land,Visakhapatnam,23.0, L,1236.0,1860,Andhra Pradesh
Plot/Land,Visakhapatnam,44.0, L,1239.0,3550,Andhra Pradesh
Plot/Land,Visakhapatnam,31.73, L,1239.0,2560,Andhra Pradesh
Plot/Land,Visakhapatnam,23.0, L,1243.0,1850,Andhra Pradesh
Plot/Land,Visakhapatnam,14.75, L,1244.0,1185,Andhra Pradesh
Plot/Land,Visakhapatnam,36.0, L,1245.0,2890,Andhra Pradesh
Plot/Land,Visakhapatnam,22.0, L,1246.0,1765,Andhra Pradesh
Plot/Land,Visakhapatnam,17.6, L,1248.0,1410,Andhra Pradesh
Plot/Land,Visakhapatnam,13.56, L,1248.0,1086,Andhra Pradesh
Plot/Land,Visakhapatnam,50.0, L,1249.0,4002,Andhra Pradesh
Plot/Land,Vizianagaram,18.99, L,1249.0,1521,Andhra Pradesh
Plot/Land,Visakhapatnam,35.0, L,1250.0,2800,Andhra Pradesh
Plot/Land,Visakhapatnam,30.0, L,1250.0,2400,Andhra Pradesh
Plot/Land,Vijayawada,26.22, L,1250.0,2097,Andhra Pradesh
Plot/Land,Visakhapatnam,22.5, L,1250.0,1800,Andhra Pradesh
Plot/Land,Tirupati,15.0, L,1250.0,1200,Andhra Pradesh
Plot/Land,Vijayawada,13.5, L,1250.0,1080,Andhra Pradesh
Plot/Land,Visakhapatnam,25.0, L,1251.0,1998,Andhra Pradesh
Plot/Land,Tirupati,62.0, L,1252.0,4950,Andhra Pradesh
Plot/Land,Visakhapatnam,14.65, L,1252.0,1170,Andhra Pradesh
Plot/Land,Visakhapatnam,27.0, L,1254.0,2153,Andhra Pradesh
Plot/Land,Visakhapatnam,17.0, L,1259.0,1350,Andhra Pradesh
Plot/Land,Visakhapatnam,22.0, L,1260.0,1746,Andhra Pradesh
Plot/Land,Visakhapatnam,19.0, L,1261.0,1506,Andhra Pradesh
Plot/Land,Kakinada,25.0, L,1262.0,1980,Andhra Pradesh
Plot/Land,Visakhapatnam,13.48, L,1265.0,1065,Andhra Pradesh
Plot/Land,Visakhapatnam,14.75, L,1266.0,1165,Andhra Pradesh
Plot/Land,Visakhapatnam,14.63, L,1268.0,1153,Andhra Pradesh
Plot/Land,Visakhapatnam,18.42, L,1270.0,1450,Andhra Pradesh
Plot/Land,Visakhapatnam,28.0, L,1272.0,2200,Andhra Pradesh
Plot/Land,Visakhapatnam,14.68, L,1273.0,1153,Andhra Pradesh
Plot/Land,Visakhapatnam,23.0, L,1275.0,1803,Andhra Pradesh
