property_type,city,total_price,unit,builtup_area_sqft,area,state,duplicate_type,dataset,prop_id,address,resale,owntype,bhk,bathrooms,balcony_num,furnish,facing,property_age,floor_num,total_floor,prop_name,min_price,max_price,price_sqft,building_id,superbuiltup_sqft,brokerage,min_area_sqft,max_area_sqft,expiry_date,price,class_label,total_landmark_count,contact_company_name,locality,price_currency,property_status,new/resale,price_negotiable,description,security_deposit,furnished,lift(s),full_power_backup,24_x_7_security,children's_play_area,club_house,gymnasium,swimming_pool,sports_facility,jogging_track,landscaped_gardens,locality_score,project_score,builder_experience,intercom,indoor_games,atm,maintenance_staff,staff_quarter,multipurpose_room,car_parking,hospital,school,pincode,vaastu_compliant,cafeteria,rain_water_harvesting,golf_course
Apartment,Hyderabad,8000.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,G69794544,,No,Owner,3.0,,3.0,Semifurnished,South-East,5.0,6.0,12.0,Sunshine Dollar Hills,13480000.0,13480000.0,8000.0,0.0,,,156.541555,156.541555,2023-10-19,1.35,Dealer,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,28.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,Y70731444,,No,Renter,3.0,,1.0,Semifurnished,South,1.0,15.0,31.0,Cybercity Marina Skies,45000.0,45000.0,28.0,465229.0,,,148.6448,148.6448,2023-08-31,45000.0,Dealer,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,7250.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,R70327908,,No,Owner,3.0,,3.0,Semifurnished,South-East,5.0,21.0,43.0,Ultimate Marvel By Greenspace,14645000.0,14645000.0,7250.0,0.0,,,187.66406,187.66406,2023-09-17,1.46,Dealer,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,7250.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,Y70327824,,No,Owner,3.0,,3.0,Semifurnished,South,5.0,20.0,43.0,Ultimate Marvel By Greenspace,14645000.0,14645000.0,7250.0,0.0,,,187.66406,187.66406,2023-09-17,1.46,Dealer,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,6950.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,Z70327626,,No,Owner,3.0,,3.0,Semifurnished,South,5.0,7.0,43.0,Ultimate Greenspace Marvel,11537000.0,11537000.0,6950.0,0.0,,,154.21898,154.21898,2023-09-17,1.15,Dealer,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,4999.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,P68844316,,No,Owner,3.0,,3.0,Semifurnished,South-East,5.0,9.0,16.0,Ar Homes Rise,7198560.0,7198560.0,4999.0,0.0,,,133.78032,133.78032,2023-09-05,71.99,Dealer,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,80000.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,B70890830,,No,Owner,3.0,,2.0,Unknown,South,0.0,5.0,5.0,Unknown,40000000.0,40000000.0,80000.0,0.0,,,418.0635,418.0635,2023-10-19,4.0,Dealer,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,3000.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,X71024368,,No,Owner,3.0,,2.0,Semifurnished,South-East,5.0,4.0,15.0,Magnifique,4755000.0,4755000.0,3000.0,0.0,,,147.251255,147.251255,2023-10-24,47.55,Dealer,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,4000.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,A71023778,,No,Owner,3.0,,3.0,Unknown,South-East,5.0,10.0,15.0,Magnifique,8980000.0,8980000.0,4000.0,0.0,,,208.567235,208.567235,2023-10-24,89.8,Dealer,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,4000.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,M71013376,,No,Owner,2.0,,2.0,Semifurnished,South-East,5.0,4.0,15.0,Magnifique,4800000.0,4800000.0,4000.0,0.0,,,112.41263,112.41263,2023-10-24,48.0,Dealer,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Secunderabad,5499.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,O71013034,,No,Owner,3.0,,2.0,Semifurnished,South-East,6.0,3.0,6.0,Sri Vathsa Sterling Abode,8497000.0,8497000.0,5499.0,1062549.0,,,143.535135,143.535135,2023-10-24,84.97,Dealer,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Secunderabad,5499.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,J71012802,,No,Owner,2.0,,1.0,Semifurnished,South-East,6.0,1.0,6.0,Sri Vathsa Sterling Abode,6638000.0,6638000.0,5499.0,1062549.0,,,112.133921,112.133921,2023-10-24,66.38,Dealer,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Secunderabad,5500.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,G71007992,,No,Owner,3.0,,2.0,Unknown,South,6.0,4.0,6.0,Sri Vathsa Sterling Abode,8700000.0,8700000.0,5500.0,1062549.0,,,147.065449,147.065449,2023-10-24,87.0,Dealer,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Secunderabad,5500.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,B71007700,,No,Owner,2.0,,2.0,Unknown,South-East,6.0,2.0,6.0,Sri Vathsa Sterling Abode,6900000.0,6900000.0,5500.0,1062549.0,,,116.686168,116.686168,2023-10-24,69.0,Dealer,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,3000.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,W71004564,,No,Owner,2.0,,1.0,Semifurnished,South-East,5.0,3.0,10.0,"East Residency, Ghatkesar",3420000.0,3420000.0,3000.0,0.0,,,105.90942,105.90942,2023-10-24,34.2,Dealer,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,3000.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,X71001358,,No,Owner,2.0,,2.0,Semifurnished,South-East,5.0,5.0,9.0,Av'S East Residency,3500000.0,3500000.0,3000.0,0.0,,,107.76748,107.76748,2023-10-23,35.0,Dealer,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Secunderabad,13973.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,R70760498,,No,Owner,3.0,,2.0,Unknown,South-West,0.0,5.0,5.0,Villa Plots,2110001.0,2110001.0,13973.0,0.0,,,126.255177,126.255177,2023-10-10,21.1,Dealer,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Secunderabad,13973.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,F70760472,,No,Owner,3.0,,2.0,Unknown,South-West,0.0,5.0,5.0,Villa Plots,2110000.0,2110000.0,13973.0,0.0,,,126.255177,126.255177,2023-10-10,21.1,Dealer,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Secunderabad,14000.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,D70760270,,No,2,3.0,,2.0,Unknown,South-West,0.0,5.0,5.0,Villa Plots,2100000.0,2100000.0,14000.0,0.0,,,125.41905,125.41905,2023-10-10,21.0,Dealer,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,37.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,M70623466,,No,Renter,3.0,,2.0,Semifurnished,South-East,1.0,5.0,15.0,Rajapushpa Atria,55000.0,55000.0,37.0,35864.0,,,134.70935,134.70935,2023-10-04,55000.0,Dealer,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,37.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,L70623418,,No,Renter,2.0,,2.0,Semifurnished,South-East,1.0,24.0,35.0,Prestige High Fields,48000.0,48000.0,37.0,209035.0,,,119.194549,119.194549,2023-10-04,48000.0,Dealer,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,37.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,H70489602,,No,Renter,3.0,,2.0,Semifurnished,South-East,1.0,18.0,20.0,Aparna Serene Park,45000.0,45000.0,37.0,390415.0,,,111.4836,111.4836,2023-09-27,45000.0,Dealer,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,28.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,J70489672,,No,Renter,3.0,,2.0,Semifurnished,South-East,1.0,4.0,17.0,My Home Vihanga,48000.0,48000.0,28.0,35246.0,,,157.00607,157.00607,2023-09-27,48000.0,Dealer,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,29.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,R70309698,,No,Renter,3.0,,2.0,Semifurnished,South-East,6.0,12.0,25.0,Aparna Sarovar Zenith,46000.0,46000.0,29.0,762065.0,,,145.393195,145.393195,2023-09-17,46000.0,Dealer,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,29.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,N70248614,,No,Renter,3.0,,1.0,Semifurnished,South,6.0,4.0,14.0,Ramky One Galaxia,45000.0,45000.0,29.0,433177.0,,,140.28353,140.28353,2023-09-14,45000.0,Dealer,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,37.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,A70164950,,No,Renter,3.0,,2.0,Unfurnished,South-East,1.0,5.0,31.0,My Home Avatar,68000.0,68000.0,37.0,416211.0,,,170.384102,170.384102,2023-09-09,68000.0,Dealer,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,27.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,S70080002,,No,Renter,3.0,,2.0,Semifurnished,South-West,1.0,12.0,17.0,My Home Vihanga,60000.0,60000.0,27.0,35246.0,,,200.67048,200.67048,2023-09-05,60000.0,Dealer,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,29.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,C69648518,,No,Renter,3.0,,2.0,Semifurnished,South,6.0,7.0,25.0,Aparna Sarovar Zenith,55000.0,55000.0,29.0,762065.0,,,174.193125,174.193125,2023-09-27,55000.0,Dealer,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Secunderabad,4199.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,K66107584,,No,Owner,2.0,,1.0,Semifurnished,South-East,5.0,3.0,7.0,Sign Of Luxury,5100000.0,5100000.0,4199.0,0.0,,,115.664235,115.664235,2023-09-08,51.0,Dealer,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,8999.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,I70545066,,No,Owner,3.0,,1.0,Semifurnished,South-East,5.0,20.0,40.0,Narsingi,15028330.0,15028330.0,8999.0,0.0,,,155.14801,155.14801,2023-09-30,1.5,Dealer,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,29.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,L70183934,,No,Renter,3.0,,2.0,Semifurnished,South-East,6.0,4.0,25.0,Aparna Sarovar Zenith,45000.0,45000.0,29.0,762065.0,,,143.07062,143.07062,2023-09-09,45000.0,Dealer,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,25.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,F70038880,,No,Renter,3.0,,1.0,Semifurnished,South-East,6.0,8.0,25.0,Aparna Sarovar Zenith,47000.0,47000.0,25.0,762065.0,,,174.193125,174.193125,2023-09-02,47000.0,Dealer,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,20.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,L69914876,,No,Renter,3.0,,2.0,Semifurnished,South,1.0,5.0,6.0,Manbhum Rhapsody,45000.0,45000.0,20.0,481233.0,,,204.3866,204.3866,2023-08-26,45000.0,Dealer,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,40.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,O70827210,,No,Renter,2.0,,1.0,Semifurnished,South,1.0,2.0,35.0,Prestige High Fieldz,60000.0,60000.0,40.0,0.0,,,138.611276,138.611276,2023-10-15,60000.0,Dealer,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,36.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,U70439368,,No,Renter,3.0,,1.0,Semifurnished,South,1.0,24.0,35.0,Prestige High Fields,55000.0,55000.0,36.0,209035.0,,,138.611276,138.611276,2023-09-24,55000.0,Dealer,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,11250.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,E70943442,,No,Owner,3.0,,1.0,Semifurnished,North-East,2.0,15.0,31.0,Sumadhura Acropolis,18000000.0,18000000.0,11250.0,414267.0,,,148.6448,148.6448,2023-10-21,1.8,Dealer,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,11000.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,Z70827470,,No,Owner,2.0,,1.0,Semifurnished,South-East,1.0,32.0,35.0,Pristige,14113000.0,14113000.0,11000.0,0.0,,,119.194549,119.194549,2023-10-15,1.41,Dealer,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,11000.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,E70827356,,No,Owner,3.0,,1.0,Semifurnished,South-East,1.0,23.0,35.0,Pristige High Fieldss,19162000.0,19162000.0,11000.0,0.0,,,161.837026,161.837026,2023-10-15,1.92,Dealer,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,33.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,Q70900406,,No,Renter,2.0,,1.0,Semifurnished,South-East,1.0,1.0,12.0,Frontline Seven,45000.0,45000.0,33.0,1033588.0,,,123.56099,123.56099,2023-10-18,45000.0,Dealer,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,11000.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,V70828828,,No,Owner,4.0,,2.0,Semifurnished,North-East,1.0,6.0,35.0,Prestige High Fieldz,44770000.0,44770000.0,11000.0,0.0,,,378.11521,378.11521,2023-10-15,4.48,Dealer,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,11000.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,X70892274,,No,Owner,4.0,,3.0,Semifurnished,South-East,1.0,14.0,35.0,Prestige High Fieldz,29843000.0,29843000.0,11000.0,0.0,,,252.045839,252.045839,2023-10-18,2.98,Dealer,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,36.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,X70795844,,No,Renter,3.0,,1.0,Semifurnished,South-East,1.0,2.0,35.0,Pristige High Field,55000.0,55000.0,36.0,0.0,,,138.611276,138.611276,2023-10-13,55000.0,Dealer,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,11000.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,Y70753070,,No,Owner,4.0,,3.0,Semifurnished,South-East,1.0,10.0,35.0,Prestige High Fieldz,28500000.0,28500000.0,11000.0,0.0,,,264.587744,264.587744,2023-10-10,2.85,Dealer,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,34.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,D70580282,,No,Renter,2.0,,1.0,Semifurnished,South-East,2.0,30.0,31.0,My Home Avatar,45000.0,45000.0,34.0,416211.0,,,122.074542,122.074542,2023-10-01,45000.0,Dealer,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,34.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,D70543342,,No,Renter,2.0,,1.0,Semifurnished,South-East,2.0,30.0,31.0,My Home Avatar,45000.0,45000.0,34.0,416211.0,,,122.074542,122.074542,2023-09-30,45000.0,Dealer,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,36.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,Z70542984,,No,Renter,2.0,,1.0,Semifurnished,South-East,2.0,8.0,31.0,My Home Avatar,48000.0,48000.0,36.0,416211.0,,,122.074542,122.074542,2023-09-30,48000.0,Dealer,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,37.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,C70509956,,No,Renter,3.0,,1.0,Unfurnished,South-East,2.0,5.0,31.0,My Home Avatar,68000.0,68000.0,37.0,416211.0,,,170.384102,170.384102,2023-09-28,68000.0,Dealer,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,37.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,M70413618,,No,Renter,2.0,,1.0,Semifurnished,South-East,1.0,5.0,35.0,Prestige High Fields,48000.0,48000.0,37.0,209035.0,,,119.194549,119.194549,2023-09-22,48000.0,Dealer,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,33.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,K69498782,,No,Renter,2.0,,1.0,Semifurnished,South,1.0,9.0,35.0,Prestige High Fields,50000.0,50000.0,33.0,209035.0,,,138.889985,138.889985,2023-10-04,50000.0,Dealer,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,6700.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,K70347434,,No,Owner,2.0,,2.0,Semifurnished,South-East,5.0,9.0,10.0,Avl Samskruthi,18492000.0,18492000.0,6700.0,0.0,,,256.41228,256.41228,2023-09-19,1.85,Dealer,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Hyderabad,5500.0,,,,,probable_duplicate,dataset_3_real_estate_RE_Combined_Data_cleaned.csv,Q70330348,,No,Owner,2.0,,1.0,Semifurnished,South-East,6.0,9.0,10.0,Rk Lorven Homes,6875000.0,6875000.0,5500.0,10046.0,,,116.12875,116.12875,2023-09-19,68.75,Dealer,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
