property_type,city,total_price,unit,builtup_area_sqft,area,state,duplicate_type,dataset,prop_id,address,resale,owntype,bhk,bathrooms,balcony_num,furnish,facing,property_age,floor_num,total_floor,prop_name,min_price,max_price,price_sqft,building_id,superbuiltup_sqft,brokerage,min_area_sqft,max_area_sqft,expiry_date,price,class_label,total_landmark_count,contact_company_name,locality,price_currency,property_status,new/resale,price_negotiable,description,security_deposit,furnished,lift(s),full_power_backup,24_x_7_security,children's_play_area,club_house,gymnasium,swimming_pool,sports_facility,jogging_track,landscaped_gardens,locality_score,project_score,builder_experience,intercom,indoor_games,atm,maintenance_staff,staff_quarter,multipurpose_room,car_parking,hospital,school,pincode,vaastu_compliant,cafeteria,rain_water_harvesting,golf_course
Apartment,Visakhapatnam,18.0, L,1800.0,1000.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Vijayawada,35.0, L,2592.0,1350.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,30.0, L,3000.0,1000.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,38.0, L,3166.0,1200.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,34.0, L,3207.0,1060.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,48.0, L,3344.0,1435.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Vijayawada,52.0, L,3501.0,1485.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Tirupati,42.3, L,3600.0,1175.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,65.0, L,3611.0,1800.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,35.0, L,3804.0,920.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,39.0, L,3900.0,1000.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Vijayawada,10500000.0, Cr,3962.0,2650.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Tirupati,60.0, L,4000.0,1500.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,40.0, L,4000.0,1000.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,36.0, L,4000.0,900.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,37.0, L,4111.0,900.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Vijayawada,54.0, L,4500.0,1200.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,85.0, L,4577.0,1857.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,84.0, L,4666.0,1800.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,42.0, L,4666.0,900.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,60.0, L,4954.0,1211.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,75.4, L,5000.0,1508.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Visakhapatnam,60.0, L,5000.0,1200.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,64.0, L,5120.0,1250.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Vijayawada,59.0, L,5363.0,1100.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,12000000.0, Cr,5454.0,2200.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Visakhapatnam,14500000.0, Cr,8285.0,1750.0,Andhra Pradesh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Guwahati,51.6, L,4300.0,1200.0,Assam,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Guwahati,54.0, L,4500.0,1200.0,Assam,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Guwahati,51.97, L,4500.0,1155.0,Assam,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Guwahati,62.5, L,5000.0,1250.0,Assam,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Patna,15000000.0, Cr,6000.0,2500.0,Bihar,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,25000000.0, Cr,11111.0,2250.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,19000000.0, Cr,11728.0,1620.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,29000000.0, Cr,12888.0,2250.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,35000000.0, Cr,12962.0,2700.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,21000000.0, Cr,18666.0,1125.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,42500000.0, Cr,18888.0,2250.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,25.9, L,2354.0,1100.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,30.0, L,2500.0,1200.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,35.0, L,2592.0,1350.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,29.0, L,2636.0,1100.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Chandigarh,27.9, L,2649.0,1053.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,32.0, L,2666.0,1200.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,16.9, L,2725.0,620.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,17.9, L,2753.0,650.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,33.9, L,2825.0,1200.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,35.0, L,2916.0,1200.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Chandigarh,35.0, L,2916.0,1200.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Chandigarh,35.0, L,2916.0,1200.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,15.9, L,2944.0,540.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,40.0, L,2962.0,1350.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,95000000.0, Cr,21111.0,4500.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,100000000.0, Cr,22222.0,4500.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,100000000.0, Cr,22222.0,4500.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,100000000.0, Cr,22222.0,4500.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,70000000.0, Cr,22222.0,3150.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,40000000.0, Cr,22222.0,1800.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,27.5, L,3055.0,900.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,27.5, L,3055.0,900.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,28.0, L,3111.0,900.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,28.0, L,3111.0,900.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,36.9, L,3354.0,1100.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,31.9, L,3544.0,900.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,35.9, L,3590.0,1000.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,36.9, L,3628.0,1017.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,55.0, L,3666.0,1500.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,57.9, L,3860.0,1500.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,34.9, L,4105.0,850.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,37.0, L,4111.0,900.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Chandigarh,64.1, L,4190.0,1530.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,79.9, L,4438.0,1800.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,63.9, L,4564.0,1400.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,41.9, L,4929.0,850.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,95.0, L,5277.0,1800.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,36.0, L,5333.0,675.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,49.9, L,5544.0,900.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Chandigarh,77.9, L,5564.0,1400.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Chandigarh,11000000.0, Cr,8800.0,1250.0,Chandigarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,18.9, L,1890.0,1000.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,24.9, L,2075.0,1200.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,26.0, L,2166.0,1200.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,11000000.0, Cr,2208.0,5000.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,40.0, L,2222.0,1800.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Raipur,40.5, L,2250.0,1800.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Raipur,36.67, L,2250.0,1630.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,27.0, L,2250.0,1200.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,22.5, L,2250.0,1000.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,79.55, L,2272.0,3500.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,63.68, L,2274.0,2800.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,41.0, L,2277.0,1800.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,28.5, L,2280.0,1250.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,20.61, L,2290.0,900.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,23.0, L,2300.0,1000.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,13.9, L,2316.0,600.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,13.9, L,2316.0,600.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,70.0, L,2333.0,3000.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,21.0, L,2333.0,900.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,42.6, L,2366.0,1800.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,30.85, L,2373.0,1300.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,47.75, L,2387.0,2000.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,43.0, L,2388.0,1800.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,72.3, L,2410.0,3000.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,68.0, L,2428.0,2800.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa/Independent House,Raipur,48.99, L,2449.0,2000.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,Raipur,25.99, L,2455.0,1059.0,Chattisgarh,exact_duplicate,dataset_1_statewise_up_cleaned.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
