locality,builtup_area_sqft,total_price,price_currency,property_status,new/resale,price_negotiable,description,security_deposit,facing,furnished,property_age,lift(s),full_power_backup,24_x_7_security,children's_play_area,club_house,gymnasium,swimming_pool,sports_facility,jogging_track,landscaped_gardens,locality_score,project_score,builder_experience,hospital,multipurpose_room,rain_water_harvesting,vaastu_compliant,atm,car_parking,intercom,maintenance_staff,school,pincode,staff_quarter,golf_course,cafeteria,indoor_games
Dhakoli,1550.0,3800000.0,INR,1.0,0,0,"A plot property is available for sale in Dhakoli, Chandigarh. It has an area of 1550 sqft. The property is available at a price of Rs. 38.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1800.0,2000000.0,INR,1.0,1,0,"This plot is situated in Yadagirigutta, Chandigarh. It has an area of 1800 sqft and is priced at Rs. 20.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,2700.0,28500000.0,INR,1.0,0,0,"A plot is available at a prime location in Sector 79. It has an area of 2700 sqft and is priced at Rs. 2.85 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,southeast,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,2700.0,21500000.0,INR,1.0,0,0,"A plot is available at a prime location in New chandigarh mohali. It has an area of 2700 sqft. The property is available at a price of Rs. 2.15 cr . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1089.0,484000.0,INR,1.0,1,0,"121 Square yard Plot for sale in Yadagirigutta, Hyderabad. This land has a dimension of 12.0 mt length 12.0 mt width. Price. The width of the facing road is 40.0 mt. The most popular landmarks near this plot are ZPHS Peddakandukur, Durga Tempul, and Millc Kendram",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lohgarh,900.0,5000000.0,INR,1.0,1,0,"This plot is situated in Lohgarh. It has an area of 900 sqft. The property is available at a price of Rs. 50.00 lac . It is north facing property. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 77,1160.0,9200000.0,INR,1.0,1,0,"This plot is situated in Sector 77, Chandigarh. It has an area of 1160 sqft and is priced at Rs. 92.00 lac . Its entry is southwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,southwest,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,5445.0,1000000.0,INR,1.0,1,0,"A plot is available at a prime location in Yadagirigutta. It has a salable area of 5445 sqft and is available at a price of Rs. 183 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 77,1125.0,9500000.0,INR,1.0,0,0,"A plot is available for sale in Sector 77, Chandigarh. It has an area of 1125 sqft and is priced at Rs. 95.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,north,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1611.0,3580000.0,INR,1.0,1,0,"This plot is situated in Yadagirigutta. It has a salable area of 1611 sqft and is available at a price of Rs. 2,222 per sqft. It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sunny Enclave,4500.0,15000000.0,INR,1.0,0,0,"This plot is situated in Sunny Enclave. It has an area of 4500 sqft and is priced at Rs. 1.50 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1323.0,3700000.0,INR,1.0,1,0,"This plot is situated in Yadagirigutta. It has an area of 1323 sqft. The property is available at a price of Rs. 37.00 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1800.0,1540000.0,INR,1.0,1,0,"A plot is available at a prime location in Yadagirigutta. It has an area of 1800 sqft. The property is available at a price of Rs. 15.40 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1350.0,9000000.0,INR,0.0,0,0,"150 gaj plot available in omaxe phase 3 new chandigarh near ratwara sahib, gated township possession very soon work in full sewing  More About This Property 1350 Square feet Plot for sale in Devi Nagar, Chandigarh. This land has a dimension of 54.0 mt length 25.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 40.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Bajwa Institute, PHC, Mullanpur Garibdas, and Guru Gobind Singh Vidya Mandir Sr. Sec School",1,east,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 74,1530.0,5900000.0,INR,1.0,1,0,,1,east,0,122,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,1350.0,14900000.0,INR,1.0,0,0,"It has a salable area of 1350 sqft and is available at a price of Rs. 11,037 per sqft. It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northwest,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1800.0,1420000.0,INR,1.0,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 1800 sqft and is priced at Rs. 14.20 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,east,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1800.0,2000000.0,INR,1.0,1,0,"A plot is available at a prime location in Yadagirigutta. It has a salable area of 1800 sqft and is available at a price of Rs. 1,111 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 77,1800.0,20500000.0,INR,1.0,1,0,"A plot is available for sale in Sector 77, Chandigarh. It has a salable area of 1800 sqft and is available at a price of Rs. 11,388 per sqft. It is facing north direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350.0,1350000.0,INR,1.0,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 1350 sqft and is priced at Rs. 13.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Village,8100.0,2997000.0,INR,1.0,1,0,"This plot is situated in Mohali Village, Chandigarh. It has a salable area of 8100 sqft and is available at a price of Rs. 370 per sqft. It is facing north direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,north,0,5,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350.0,1100000.0,INR,1.0,1,0,This plot is available for sale and is located in the heart of Yadagirigutta. It has a salable area of 1350 sqft and is available at a price of Rs. 814 per sqft. Its entry is west facing. It is situated in the proximity of all the important facilities. Please contact us for more details. ,1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1080.0,852000.0,INR,1.0,0,0,"This plot is available for sale and is located in the heart of Yadagirigutta. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 78,1125.0,11000000.0,INR,1.0,0,0,"This plot is situated in Sector 78, Chandigarh. It has an area of 1125 sqft. The property is available at a price of Rs. 1.10 cr . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,3156.0,13500000.0,INR,1.0,0,0,"3156 Square feet Plot for sale in Devi Nagar, Mohali. This land has a dimension of 39.0 mt length 80.0 mt width. Price. The width of the facing road is 13.0 mt. The most popular landmarks near this plot are Bajwa Institute, PHC, Mullanpur Garibdas, and Guru Gobind Singh Vidya Mandir Sr. Sec School",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
