prop_id,property_type,city,address,resale,owntype,bhk,bathrooms,balcony_num,total_price,furnish,facing,property_age,floor_num,total_floor,prop_name,min_price,max_price,price_sqft,building_id,builtup_area_sqft,superbuiltup_sqft,brokerage,min_area_sqft,max_area_sqft,expiry_date,price,class_label,total_landmark_count,contact_company_name,flag_reason,dataset
M69555358,Apartment,Hyderabad,,Yes,Owner,4.0,,2,0.0,Unknown,North,5,1,20,The Olympus,0.0,0.0,0,1061980.0,,,,267.56064,278.709,2023-12-05,24.75,Builder,11,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
V70545426,Apartment,Hyderabad,,Yes,Owner,1.0,,2,0.0,Unknown,North,5,1,47,Hyderabad One,0.0,0.0,0,1069093.0,,,,50.725038,50.725038,2023-08-31,24.75,Builder,9,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
I70026588,Apartment,Hyderabad,,Yes,Owner,4.0,,2,0.0,Unknown,North,5,1,35,Aparna One,0.0,0.0,0,876087.0,,,,386.011965,484.582048,2023-10-01,24.75,Builder,10,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
J70026586,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,35,Aparna One,0.0,0.0,0,876087.0,,,,267.189028,267.189028,2023-10-01,24.75,Builder,10,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
R69543366,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,6,1,7,My Fortune Pride,0.0,0.0,0,1052527.0,,,,132.386775,204.851115,2023-09-06,24.75,Builder,44,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
U70440610,Apartment,Secunderabad,,Yes,Owner,4.0,,2,0.0,Unknown,North,5,1,9,Aparna Serenity,0.0,0.0,0,1052280.0,,,,244.33489,253.62519,2023-10-24,24.75,Builder,10,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
J70440600,Apartment,Secunderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,9,Aparna Serenity,0.0,0.0,0,1052280.0,,,,136.102895,207.17369,2023-10-24,24.75,Builder,10,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
D70440598,Apartment,Secunderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,5,1,9,Aparna Serenity,0.0,0.0,0,1052280.0,,,,124.025505,124.025505,2023-10-24,24.75,Builder,10,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
U70499514,Apartment,Secunderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,15,Aparna Kanopy Yellow Bells,0.0,0.0,0,1060177.0,,,,142.699008,177.537633,2023-09-25,24.75,Builder,10,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
S70499512,Apartment,Secunderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,5,1,15,Aparna Kanopy Yellow Bells,0.0,0.0,0,1060177.0,,,,120.216482,126.440983,2023-09-25,24.75,Builder,10,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
T70026354,Apartment,Hyderabad,,Yes,Owner,4.0,,2,0.0,Unknown,North,5,1,26,Aparna Sarovar Zicon,0.0,0.0,0,1057276.0,,,,142.048687,267.096125,2023-10-01,24.75,Builder,11,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Y70026352,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,26,Aparna Sarovar Zicon,0.0,0.0,0,1057276.0,,,,121.610027,239.225225,2023-10-01,24.75,Builder,11,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
O70026348,Apartment,Hyderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,5,1,26,Aparna Sarovar Zicon,0.0,0.0,0,1057276.0,,,,112.877145,177.351827,2023-10-01,24.75,Builder,11,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Y70877022,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,8,Rudhras Bhuvi,0.0,0.0,0,1092183.0,,,,147.622867,177.073118,2023-11-11,24.75,Builder,9,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Y70877020,Apartment,Hyderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,5,1,8,Rudhras Bhuvi,0.0,0.0,0,1092183.0,,,,102.379106,119.566161,2023-11-11,24.75,Builder,9,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
V70242180,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,47,Candeur Twins,0.0,0.0,0,1091331.0,,,,147.71577,191.38018,2023-10-12,24.75,Dealer,12,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
J69578256,Apartment,Hyderabad,,Yes,Owner,4.0,,2,0.0,Unknown,North,5,1,37,Sattva Lake Ridge,0.0,0.0,0,1121138.0,,,,370.032649,489.227198,2023-09-07,24.75,Builder,13,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
C69578252,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,37,Sattva Lake Ridge,0.0,0.0,0,1121138.0,,,,199.927256,382.295845,2023-09-07,24.75,Builder,13,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
S70803288,Apartment,Hyderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,6,1,5,Nihira Ira Orchid,0.0,0.0,0,1125151.0,,,,92.903,92.903,2023-08-30,24.75,Builder,8,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Z69919572,Apartment,Hyderabad,,Yes,Owner,5.0,,2,0.0,Unknown,North,5,1,32,Vasavi Skyla,0.0,0.0,0,1069404.0,,,,413.41835,668.9016,2023-10-25,24.75,Builder,11,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
F70019860,Apartment,Hyderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,5,1,5,Modi Paradise,0.0,0.0,0,190357.0,,,,90.11591,90.11591,2023-10-01,24.75,Builder,10,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Z70813124,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,30,Vertex Viraat,0.0,0.0,0,1057989.0,,,,143.99965,188.59309,2023-09-14,24.75,Builder,12,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
V70813122,Apartment,Hyderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,5,1,30,Vertex Viraat,0.0,0.0,0,1057989.0,,,,124.49002,124.49002,2023-09-14,24.75,Builder,12,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
N70485248,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,20,The Ananda,0.0,0.0,0,1065993.0,,,,150.781569,180.417626,2023-08-27,24.75,Builder,5,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
V70485244,Apartment,Hyderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,5,1,20,The Ananda,0.0,0.0,0,1065993.0,,,,126.162274,126.719692,2023-08-27,24.75,Builder,5,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
W70298094,Apartment,Hyderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,5,1,14,Forest Edge By Canny,0.0,0.0,0,1069439.0,,,,119.380355,119.380355,2023-10-16,24.75,Dealer,13,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
S70657024,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,20,The Olympus,0.0,0.0,0,1061980.0,,,,155.14801,215.53496,2023-08-29,24.75,Dealer,11,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Z70298210,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,13,Sree Kalpa Luxor,0.0,0.0,0,1113247.0,,,,140.28353,176.794409,2023-10-16,24.75,Dealer,8,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
H70298208,Apartment,Hyderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,5,1,13,Sree Kalpa Luxor,0.0,0.0,0,1113247.0,,,,111.855212,127.184207,2023-10-16,24.75,Dealer,8,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Z70296366,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,30,Vertex Viraat,0.0,0.0,0,1057989.0,,,,143.99965,188.59309,2023-10-16,24.75,Dealer,12,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
N70296364,Apartment,Hyderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,5,1,30,Vertex Viraat,0.0,0.0,0,1057989.0,,,,124.49002,124.49002,2023-10-16,24.75,Dealer,12,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
S70296162,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,5,Fortune Mayura,0.0,0.0,0,1031760.0,,,,134.70935,144.92868,2023-10-16,24.75,Dealer,15,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
I70296158,Apartment,Hyderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,5,1,5,Fortune Mayura,0.0,0.0,0,1031760.0,,,,110.833279,112.41263,2023-10-16,24.75,Dealer,15,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Q70779302,Apartment,Hyderabad,,Yes,Owner,5.0,,2,0.0,Unknown,North,5,1,36,Prestige Rainbow Waters,0.0,0.0,0,1122478.0,,,,743.316903,743.316903,2023-09-11,24.75,Dealer,13,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
F70779300,Apartment,Hyderabad,,Yes,Owner,4.0,,2,0.0,Unknown,North,5,1,36,Prestige Rainbow Waters,0.0,0.0,0,1122478.0,,,,460.334365,720.648571,2023-09-11,24.75,Dealer,13,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
D70460242,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,6,1,15,Jains Salzburg,0.0,0.0,0,96060.0,,,,94.76106,167.318303,2023-08-26,24.75,Dealer,6,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Q70460240,Apartment,Hyderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,6,1,15,Jains Salzburg,0.0,0.0,0,96060.0,,,,90.0230069999999,103.772651,2023-08-26,24.75,Dealer,6,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
E70984036,Apartment,Hyderabad,,Yes,Owner,4.0,,2,0.0,Unknown,North,5,1,37,Sattva Lake Ridge,0.0,0.0,0,1121138.0,,,,370.032649,489.227198,2023-09-23,24.75,Dealer,13,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
D70984034,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,37,Sattva Lake Ridge,0.0,0.0,0,1121138.0,,,,199.927256,382.295845,2023-09-23,24.75,Dealer,13,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
F70476530,Apartment,Hyderabad,,Yes,Owner,5.0,,2,0.0,Unknown,North,5,1,32,Vasavi Skyla,0.0,0.0,0,1069404.0,,,,413.41835,668.9016,2023-08-27,24.75,Dealer,11,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
J70476528,Apartment,Hyderabad,,Yes,Owner,4.0,,2,0.0,Unknown,North,5,1,32,Vasavi Skyla,0.0,0.0,0,1069404.0,,,,332.59274,598.29532,2023-08-27,24.75,Dealer,11,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
T70476526,Apartment,Hyderabad,,Yes,Owner,3.0,,2,0.0,Unknown,North,5,1,32,Vasavi Skyla,0.0,0.0,0,1069404.0,,,,195.0963,334.4508,2023-08-27,24.75,Dealer,11,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
X70454890,Apartment,Hyderabad,,Yes,Owner,2.0,,2,0.0,Unknown,North,5,1,14,Forest Edge By Canny,0.0,0.0,0,1069439.0,,,,119.380355,119.380355,2023-08-26,24.75,Dealer,13,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
L69957198,Apartment,Secunderabad,,No,Owner,3.0,,2,0.0,Unknown,North,0,5,5,Tranquil,0.0,0.0,0,0.0,,,,183.94794,183.94794,2023-08-28,24.75,Dealer,5,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
